id_deputado,nome_completo,sexo,uf,partido_atual,profissao,eleicao_ocupacao,eleicao_grau_instrucao,eleicao_partido,situacao,data_nascimento,data_falecimento,ano_inicio,data_saida,soma_documento,soma_glosa,soma_liquido,,receita_total_eleicoes,tipo_receita,nome_parlamentar,total_bens,tipo_bem,total_despesas_eleicoes,id_municipio,votos,anos,mandatos,causa_fimdescr
3151,Jairo Ataíde Vieira,M,MG,DEM,0,26,Superior completo,DEM,E,1944-09-18,,2007,,1282418.3500000006,13276.59,1257641.7600000007,1,528811.18,RECURSOS PRÓPRIOS,Jairo Ataíde,6083420,11,528692.7,3100203,3,,2,Afastamento
3155,Geraldo Tenuta Filho,M,SP,DEM,390,26,Superior completo,DEM,E,1958-08-16,,2007,2007-04-23,622893.0899999978,3541.4600000000014,619351.6299999977,2,97900,RECURSOS DE PESSOAS FÍSICAS,Bispo Gê Tenuta,331238.29,21,97900,290170,42,2.57084188911704,4,Afastamento
4927,Jorge De Faria Maluly,M,SP,DEM,201,26,Superior completo,DEM,E,1960-09-07,,2007,2007-04-23,573399.73,6761.66,566638.0699999998,3,1662921.13,RECURSOS PRÓPRIOS,Jorginho Maluly,2678217.57,2,1662921.13,3500105,179,3.98357289527721,2,Afastamento
4928,Eduardo Benedito Lopes,M,RJ,PRB,107,,,,E,1964-09-19,,2007,2009-10-08,400706.11,30880.910000000014,369825.1999999999,4,,,Eduardo Lopes,,,,,,3.43874058863792,2,Afastamento
4929,Joseph Wallace Faria Bandeira,M,BA,PT,0,199,Superior completo,PT,S,1949-11-06,,2007,,563267.0599999975,3105.28,560161.7799999976,5,154765,RECURSOS DE PESSOAS JURÍDICAS,Joseph Bandeira,,,154751.1,290510,5,0.991101984941821,1,Afastamento
4930,Sílvio Serafim Costa,M,PE,PSC,0,90,Ensino médio completo,PTB,E,1956-12-23,,2007,2013-10-08,1653434.0699999998,14081.410000000009,1639352.6599999985,6,1150060,RECURSOS DE PESSOAS JURÍDICAS,Silvio Costa,368583,11,1149909.63,260545,3,,1,
4931,Izalci Lucas Ferreira,M,DF,PSDB,423,303,Superior completo,PR,E,1956-04-07,,2011,2012-10-16,774804.25,1430.6300000000003,773083.74,7,761944.72,RECURSOS PRÓPRIOS,Izalci,6546859.83,12,761530.53,530010,2468,,1,
62881,Francisco Danilo Bastos Forte,M,CE,PMDB,199,199,Superior completo,PMDB,E,1958-09-01,,2011,,948892.8300000003,4822.800000000002,915675.1200000002,8,1080918,RECURSOS DE PESSOAS FÍSICAS,Danilo Forte,2761664.64,11,1080918,2300101,2,,1,
62926,Pastor Reinaldo,,RS,PTB,436,,,,,,,2003,,0,0,0,9,,,Pastor Reinaldo,,,,,,,,
64224,Robério Nunes,,BA,PFL,436,,,,,,,2003,,0,0,0,10,,,Robério Nunes,,,,,,,,
