"","id_deputado","receita_total_eleicoes","tipo_receita","nome_parlamentar","uf","partido_atual","profissao","total_bens","tipo_bem","total_despesas_eleicoes","id_municipio","votos","anos","mandatos","causa_fimdescr"
"1",3151,528811.18,"RECURSOS PRÓPRIOS","Jairo Ataíde","MG","DEM",0,6083420,11,528692.7,3100203,3,,2,"Afastamento"
"2",3155,97900,"RECURSOS DE PESSOAS FÍSICAS","Bispo Gê Tenuta","SP","DEM",390,331238.29,21,97900,290170,42,2.57084188911704,4,"Afastamento"
"3",4927,1662921.13,"RECURSOS PRÓPRIOS","Jorginho Maluly","SP","DEM",201,2678217.57,2,1662921.13,3500105,179,3.98357289527721,2,"Afastamento"
"4",4928,,,"Eduardo Lopes","RJ","PRB",107,,,,,,3.43874058863792,2,"Afastamento"
"5",4929,154765,"RECURSOS DE PESSOAS JURÍDICAS","Joseph Bandeira","BA","PT",0,,,154751.1,290510,5,0.991101984941821,1,"Afastamento"
"6",4930,1150060,"RECURSOS DE PESSOAS JURÍDICAS","Silvio Costa","PE","PSC",0,368583,11,1149909.63,260545,3,,1,""
"7",4931,761944.72,"RECURSOS PRÓPRIOS","Izalci","DF","PSDB",423,6546859.83,12,761530.53,530010,2468,,1,""
"8",62881,1080918,"RECURSOS DE PESSOAS FÍSICAS","Danilo Forte","CE","PMDB",199,2761664.64,11,1080918,2300101,2,,1,""
"9",62926,,,"Pastor Reinaldo","RS","PTB",436,,,,,,,,
"10",64224,,,"Robério Nunes","BA","PFL",436,,,,,,,,
"11",64960,233820,"RECURSOS DE PESSOAS FÍSICAS","Maria Helena","RR","PSB",194,2363554.56,11,233807.79,1400027,49,3.99726214921287,1,"Término da Legislatura"
"12",65498,,,"Lucia Vania","GO","PP",436,,,,,,,,
"13",65511,,,"Miguel Arraes","PE","PSB",436,,,,,,,,
"14",65551,,,"Wagner Lago","MA","PP",436,,,,,,,,
"15",65904,,,"Maurilio Ferreira Lima","",,436,,,,,,,,
"16",65987,,,"Lucia Braga","PB","PDT",436,,,,,,,,
"17",67138,773180.35,"RECURSOS DE PESSOAS JURÍDICAS","Iracema Portella","PI","PP",340,2519157.82,13,772962.5,220095,453,,1,""
"18",67836,,,"Luiz Gushiken","SP","PT",436,,,,,,,,
"19",68731,603259.24,"RECURSOS DE PESSOAS FÍSICAS","Henrique Oliveira","AM","SDD",255,,,719676.9,1300029,9,,1,""
"20",72553,,,"Gessivaldo Isaias","PI","PMDB",436,,,,,,,,
"21",73416,1438909.78,"RECURSOS PRÓPRIOS","Nelson Bornier","RJ","PMDB",199,1969050.77,13,1438756.63,3300100,15,1.88364134154689,2,"Afastamento"
"22",73418,14231.86,"RECURSOS DE PESSOAS FÍSICAS","Noel De Oliveira","",,436,966699.64,12,14231.86,3300100,3,,,
"23",73420,,,"Roberto Jefferson Monteiro Francisco","RJ","PTB",436,,,,,,,,
"24",73421,,,"Ronaldo Cezar Coelho","",,436,,,,,,,,
"25",73422,,,"Rubem Medina","RJ","PFL",436,,,,,,,,
"26",73424,1035004.99,"RECURSOS PRÓPRIOS","Simão Sessim","RJ","PP",358,985882.5,21,1034981.33,3300100,73,,1,""
"27",73426,214572.73,"RECURSOS PRÓPRIOS","Adhemar De Barros Filho","",,436,8307234.92,11,214572.73,3500105,2,,,
"28",73427,,,"Alberto Goldman","SP","PSDB",436,,,,,,,,
"29",73428,2177724.19,"RECURSOS DE PESSOAS FÍSICAS","Aldo Rebelo","SP","PCDOB",281,1037638.54,12,2159922.2,3500105,78,0.744695414099932,1,"Ministro de Estado"
"30",73430,,,"Aloysio Nunes Ferreira","SP","PSDB",436,,,,,,,,
"31",73431,902485.26,"RECURSOS DE PESSOAS JURÍDICAS","Antonio Carlos Pannunzio","SP","PSDB",239,2096055.29,12,902222.68,3500303,2,3.99726214921287,1,"Término da Legislatura"
"32",73432,,,"Antonio Kandir","SP","PSDB",436,,,,,,,,
"33",73433,4070616.71,"RECURSOS DE PESSOAS FÍSICAS","Arlindo Chinaglia","SP","PT",196,1476991.53,11,4069516.71,3500105,350,,1,""
"34",73434,1662817.11,"RECURSOS DE PESSOAS FÍSICAS","Arnaldo Faria De Sá","SP","PTB",343,4449697.9,11,1661313.63,3500105,82,,1,""
"35",73435,,,"Ary Kara José","SP","PPB",436,,,,,,,,
"36",73437,1564179.2,"RECURSOS PRÓPRIOS","Beto Mansur","SP","PRB",32,21004188.27,11,1564179.2,3500105,3,,1,""
"37",73441,,,"Celso Russomanno","SP","PP",147,,,,,,3.99726214921287,1,"Término da Legislatura"
"38",73442,406777.56,"RECURSOS PRÓPRIOS","Valdemar Corauci Sobrinho","SP","PFL",436,1491552.73,1,406777.56,3500105,2,,,
"39",73443,,,"Antônio Henrique Bittencourt Cunha Bueno","SP","PPB",436,,,,,,,,
"40",73445,,,"Delfim Netto","SP","PPB",436,,,,,,,,
"41",73446,,,"Duilio Pisaneschi","","PTB",436,,,,,,,,
"42",73447,388255.77,"RECURSOS DE PESSOAS FÍSICAS","Edinho Araújo","SP","PMDB",254,2226222.37,11,376255.77,3500105,15,,1,""
"43",73448,,,"Eduardo Jorge Martins Alves Sobrinho","SP","PT",436,,,,,,,,
"44",73451,,,"Carlos Fernando Zuppo Franco","SP","PDT",436,,,,,,,,
"45",73452,,,"Franco Montoro","SP","PSDB",436,,,,,,,,
"46",73454,,,"João Grandão E Outros","MS","PT",436,,,,,,,,
"47",73455,,,"Pedro Pedrossian Filho","MS","PFL",436,,,,,,,,
"48",73456,,,"Waldemir Moka","MS","PMDB",57,,,,,,3.99726214921287,1,"Término da Legislatura"
"49",73457,578564.62,"RECURSOS DE PESSOAS JURÍDICAS","Airton Roveda","PR","PR",306,5692443.79,12,578437.03,4100301,7,2.90759753593429,3,"Afastamento"
"50",73458,1219125,"RECURSOS DE PESSOAS FÍSICAS","Alex Canziani","PR","PTB",111,3124363.56,1,1219125,4100103,13,,1,""
"51",73459,1127339,"DESCRIÇÃO DAS DOAÇÕES RELATIVAS À COMERCIALIZAÇÃO","Dr. Rosinha","PR","PT",73,1140253.22,11,1127055.35,4100103,1,,1,""
"52",73460,,,"Gustavo Fruet","PR","PSDB",199,,,,,,3.99726214921287,1,"Término da Legislatura"
"53",73461,207999.98,"RECURSOS DE PESSOAS JURÍDICAS","Íris Simões","PR","PR",262,1835617.2,11,207995.17,4100400,17,0.405201916495551,2,"Afastamento"
"54",73462,,,"José Carlos De Castro Martinez","PR","PTB",436,,,,,,,,
"55",73463,1004302.13,"RECURSOS PRÓPRIOS","Osmar Serraglio","PR","PMDB",199,3350497,12,1004224.94,4100103,2,,1,""
"56",73464,578358.66,"RECURSOS PRÓPRIOS","Oliveira Filho","PR","PRB",0,1526483,11,578358.66,4100301,19,0.777549623545517,1,"Afastamento"
"57",73465,,,"Rafael Greca","PR","PFL",436,,,,,,,,
"58",73466,383340.26,"RECURSOS DE PESSOAS FÍSICAS","Rubens Bueno","PR","PPS",81,1866237.19,11,383262.11,4100202,13,,1,""
"59",73467,,,"Joaquim Dos Santos Filho","PR","PFL",436,,,,,,,,
"60",73468,,,"Antônio Carlos Konder Reis","SC","PFL",436,,,,,,,,
"61",73469,,,"Carlito Merss","SC","PT",400,,,,,,1.91375770020534,1,"Renúncia"
"62",73470,,,"Eni Voltolini","SC","PPB",436,,,,,,,,
"63",73471,,,"Fernando Coruja","SC","PPS",14,,,,,,3.99726214921287,1,"Término da Legislatura"
"64",73472,681622.76,"RECURSOS PRÓPRIOS","Gervásio Silva","SC","PSDB",70,1526955,13,681588.55,4200051,16,3.99726214921287,1,"Término da Legislatura"
"65",73473,,,"Leodegar Tiscoski","SC","PPB",436,,,,,,,,
"66",73474,536387.37,"RECURSOS DE PESSOAS JURÍDICAS","Luci Choinacki","SC","PT",336,386593,12,536386.41,4200051,19,,1,""
"67",73475,,,"Renato Vianna","SC","PMDB",436,,,,,,,,
"68",73476,,,"Vicente Augusto Caropreso","SC","PSDB",436,,,,,,,,
"69",73477,,,"Alceu Collares","RS","PDT",436,,,,,,,,
"70",73478,1454060.04,"RECURSOS DE PESSOAS JURÍDICAS","Beto Albuquerque","RS","PSB",199,2135966.42,11,1452615.67,4300034,5,,2,"Secretário de Estado"
"71",73479,,,"Luiz Carlos Repiso Riela","RS","PTB",436,,,,,,,,
"72",73480,,,"Cezar Schirmer","RS","PMDB",72,,,,,,1.97399041752225,3,"Afastamento"
"73",73481,432069.07,"RECURSOS PRÓPRIOS","Fernando Marroni","RS","PT",0,375999,12,432069.07,4300034,50,,1,""
"74",73482,1274952.04,"RECURSOS PRÓPRIOS","Henrique Fontana","RS","PT",376,2114449.06,13,1270899.03,4300034,19,,1,""
"75",73483,1557728.41,"RECURSOS DE PESSOAS JURÍDICAS","Luis Carlos Heinze","RS","PP",165,4707789.75,11,1555510.87,4300034,68,,1,""
