id_deputado,nome_completo,sexo,uf,partido_atual,profissao,eleicao_ocupacao,eleicao_grau_instrucao,eleicao_partido,situacao,data_nascimento,data_falecimento,ano_inicio,data_saida,soma_documento,soma_glosa,soma_liquido
3151,Jairo Ataíde Vieira,M,MG,DEM,0,26,Superior completo,DEM,E,1944-09-18,,2007,,1282418.3500000006,13276.59,1257641.7600000007
3155,Geraldo Tenuta Filho,M,SP,DEM,390,26,Superior completo,DEM,E,1958-08-16,,2007,2007-04-23,622893.0899999978,3541.4600000000014,619351.6299999977
4927,Jorge De Faria Maluly,M,SP,DEM,201,26,Superior completo,DEM,E,1960-09-07,,2007,2007-04-23,573399.73,6761.66,566638.0699999998
4928,Eduardo Benedito Lopes,M,RJ,PRB,107,,,,E,1964-09-19,,2007,2009-10-08,400706.11,30880.910000000014,369825.1999999999
4929,Joseph Wallace Faria Bandeira,M,BA,PT,0,199,Superior completo,PT,S,1949-11-06,,2007,,563267.0599999975,3105.28,560161.7799999976
4930,Sílvio Serafim Costa,M,PE,PSC,0,90,Ensino médio completo,PTB,E,1956-12-23,,2007,2013-10-08,1653434.0699999998,14081.410000000009,1639352.6599999985
4931,Izalci Lucas Ferreira,M,DF,PSDB,423,303,Superior completo,PR,E,1956-04-07,,2011,2012-10-16,774804.25,1430.6300000000003,773083.74
62881,Francisco Danilo Bastos Forte,M,CE,PMDB,199,199,Superior completo,PMDB,E,1958-09-01,,2011,,948892.8300000003,4822.800000000002,915675.1200000002
62926,Pastor Reinaldo,,RS,PTB,436,,,,,,,2003,,0,0,0
64224,Robério Nunes,,BA,PFL,436,,,,,,,2003,,0,0,0
64960,Maria Helena Veronese Rodrigues,F,RR,PSB,194,26,Superior completo,PSB,E,1949-06-15,,2003,,572395.9599999997,11650.730000000007,560745.23
65498,Lucia Vania,,GO,PP,436,,,,,,,1991,,0,0,0
65511,Miguel Arraes,,PE,PSB,436,,,,,,,1991,,0,0,0
65551,Wagner Lago,,MA,PP,436,,,,,,,2003,,0,0,0
65904,Maurilio Ferreira Lima,,,,436,,,,,,,1999,,0,0,0
65987,Lucia Braga,,PB,PDT,436,,,,,,,1991,,0,0,0
67138,Iracema Maria Portella Nunes Nogueira Lima,F,PI,PP,340,228,Superior completo,PP,E,1966-04-23,,2011,,981318.2900000016,4084.6800000000007,977233.6100000013
67836,Luiz Gushiken,,SP,PT,436,,,,,,,1991,,0,0,0
68731,José Henrique Oliveira,M,AM,SDD,255,245,Ensino médio completo,PR,E,1960-10-16,,2011,2013-10-02,950984.7400000006,2071.2900000000004,944913.4500000005
72553,Gessivaldo Isaias,,PI,PMDB,436,,,,,,,1999,,0,0,0
73416,Nelson Roberto Bornier De Oliveira,M,RJ,PMDB,199,26,Superior completo,PMDB,V,1950-01-14,,1991,,1269073.2800000047,2884.280000000001,1266189.0000000035
73418,Noel De Oliveira,,,,436,44,Superior completo,PDT,,1929-06-26,,1995,,0,0,0
73420,Roberto Jefferson Monteiro Francisco,,RJ,PTB,436,,,,,,,1991,,0,0,0
73421,Ronaldo Cezar Coelho,,,,436,,,,,,,1995,,0,0,0
73422,Rubem Medina,,RJ,PFL,436,,,,,,,1991,,0,0,0
73424,Simão Sessim,M,RJ,PP,358,26,Superior completo,PP,E,1935-12-08,,1991,,1286026.3900000015,2665.0699999999993,1283361.3200000017
73426,Adhemar De Barros Filho,,,,436,199,Superior completo,PP,,1929-06-18,,1995,,0,0,0
73427,Alberto Goldman,,SP,PSDB,436,,,,,,,1991,,0,0,0
73428,José Aldo Rebelo Figueiredo,M,SP,PCDOB,281,281,Superior completo,PCDOB,L,1956-02-23,,1991,,696554.9099999984,3630.7999999999993,692924.1099999988
73430,Aloysio Nunes Ferreira,,SP,PSDB,436,,,,,,,1995,,0,0,0
73431,Antonio Carlos Pannunzio,M,SP,PSDB,239,26,Superior completo,PSDB,E,1943-07-29,,1995,,399170.8400000016,2758.17,396412.67000000185
73432,Antonio Kandir,,SP,PSDB,436,,,,,,,1995,,0,0,0
73433,Arlindo Chignalia Junior,M,SP,PT,196,196,Superior completo,PT,E,1949-12-24,,1995,,695947.9599999995,2620.9900000000007,693326.9699999994
73434,Arnaldo Faria De Sá,M,SP,PTB,343,26,Superior completo,PTB,E,1945-12-30,,1991,,780605.4800000018,20.1,778373.620000002
73435,Ary Kara José,,SP,PPB,436,,,,,,,1991,,0,0,0
73437,Paulo Roberto Gomes Mansur,M,SP,PRB,32,26,Superior completo,PP,E,1951-07-07,,1991,2013-10-05,1482845.7399999932,23319.92000000001,1440279.0099999944
73441,Celso Ubirajara Russomanno,M,SP,PP,147,,,,E,1956-08-20,,1995,,317384.34999999916,1706.74,315677.60999999905
73442,Valdemar Corauci Sobrinho,,SP,PFL,436,199,Superior completo,PSB,,1945-08-24,,1995,,0,0,0
73443,Antônio Henrique Bittencourt Cunha Bueno,,SP,PPB,436,,,,,,,1991,,0,0,0
73445,Delfim Netto,,SP,PPB,436,228,Superior completo,PSB,,1960-11-16,,1991,,0,0,0
73446,Duilio Pisaneschi,,,PTB,436,,,,,,,1995,,0,0,0
73447,Edson Edinho Coelho Araújo,M,SP,PMDB,254,199,Superior completo,PMDB,E,1949-07-30,,1995,,778047.269999998,8959.389999999996,763558.7599999973
73448,Eduardo Jorge Martins Alves Sobrinho,,SP,PT,436,,,,,,,1991,,0,0,0
73451,Carlos Fernando Zuppo Franco,,SP,PDT,436,,,,,,,1995,,0,0,0
73452,Franco Montoro,,SP,PSDB,436,,,,,,,1995,,0,0,0
73454,João Grandão E Outros,,MS,PT,436,,,,,,,1999,,0,0,0
73455,Pedro Pedrossian Filho,,MS,PFL,436,,,,,,,1999,,0,0,0
